av512m/500/1 : [22.20564, 9.14282, 22.88139]
euroc_mh4_752/1000/1 : [5.05678, 5.05678]
euroc_mh4_752/1000/2 : [6.49369, 6.49369]
euroc_mh4_752/1000/3 : [4.77987, 4.77987]
euroc_mh4_752/1250/1 : [4.92142, 4.92142]
euroc_mh4_752/1250/2 : [5.01954, 5.01954]
euroc_mh4_752/1250/3 : [5.72377, 5.72377]
euroc_mh4_752/2500/1 : [7.18257, 7.18257]
euroc_mh4_752/2500/2 : [5.31435, 5.31435]
euroc_mh4_752/2500/3 : [5.74733, 5.74733]
euroc_mh4_752/5000/1 : [126.85168, 126.85168]
euroc_mh4_752/5000/2 : [37.98958, 37.98958]
euroc_mh4_752/5000/3 : [55.72369, 55.72369]
euroc_mh4_752/10000/1 : [74.49345, 74.49345]
euroc_mh4_752/10000/2 : [311.8603, 311.8603]
euroc_mh4_752/10000/3 : [194.0141, 194.0141]
euroc_mh5_752/500/1 : [7.3896, 7.3896]
euroc_mh5_752/500/2 : [8.66325, 8.66325]
euroc_mh5_752/500/3 : [9.89127, 3.85794, 10.03814]
euroc_mh5_752/750/1 : [5.04037, 5.04037]
euroc_mh5_752/750/2 : [4.80474, 4.80474]
euroc_mh5_752/750/3 : [6.71347, 6.71347]
euroc_mh5_752/1000/1 : [4.70016, 4.70016]
euroc_mh5_752/1000/2 : [4.74469, 4.74469]
euroc_mh5_752/1000/3 : [10.69159, 10.69159]
euroc_mh5_752/1250/1 : [4.58923, 4.58923]
euroc_mh5_752/1250/2 : [4.60483, 4.60483]
euroc_mh5_752/1250/3 : [4.37004, 4.37004]
euroc_mh5_752/2500/1 : [7.828, 7.828]
euroc_mh5_752/2500/2 : [5.62703, 5.62703]
euroc_mh5_752/2500/3 : [5.8084, 5.8084]
euroc_mh5_752/5000/1 : [49.2348, 49.2348]
euroc_mh5_752/5000/2 : [8.20128, 8.20128]
euroc_mh5_752/5000/3 : [5.76451, 5.76451]
euroc_mh5_752/10000/1 : [9.83049, 9.83049]
euroc_mh5_752/10000/2 : [47.61542, 47.61542]
euroc_mh5_752/10000/3 : [15.0418, 15.0418]
euroc_v101_752/500/1 : [8.71134, 8.71134]
euroc_v101_752/500/2 : [8.74076, 8.74076]
euroc_v101_752/500/3 : [8.76996, 8.76996]
euroc_v101_752/750/1 : [8.73096, 8.73096]
euroc_v101_752/750/2 : [8.72867, 8.72867]
euroc_v101_752/750/3 : [8.80166, 8.80166]
euroc_v101_752/1000/1 : [8.84652, 8.84652]
euroc_v101_752/1000/2 : [8.77022, 8.77022]
euroc_v101_752/1000/3 : [8.69599, 8.69599]
euroc_v101_752/1250/1 : [8.7515, 8.7515]
euroc_v101_752/1250/2 : [8.82096, 8.82096]
euroc_v101_752/1250/3 : [8.7732, 8.7732]
euroc_v101_752/2500/1 : [8.78236, 8.78236]
euroc_v101_752/2500/2 : [8.76451, 8.76451]
euroc_v101_752/2500/3 : [8.7646, 8.7646]
euroc_v101_752/5000/1 : [8.82513, 8.82513]
euroc_v101_752/5000/2 : [8.71884, 8.71884]
euroc_v101_752/5000/3 : [8.79477, 8.79477]
euroc_v101_752/10000/1 : [8.76873, 8.76873]
euroc_v101_752/10000/2 : [8.71591, 8.71591]
euroc_v101_752/10000/3 : [8.77864, 8.77864]
euroc_v102_752/500/1 : [7.05876, 6.35123, 0.68677, 7.37361]
euroc_v102_752/500/2 : [5.89404, 5.77279, 0.91275, 6.40044]
euroc_v102_752/500/3 : [5.86654, 5.50637, 5.95712]
euroc_v102_752/750/1 : [6.24868, 6.20291, 1.5653, 7.04662]
euroc_v102_752/750/2 : [5.77809, 5.18944, 1.49586, 6.25291]
euroc_v102_752/750/3 : [5.94355, 5.41078, 1.65493, 6.44833]
euroc_v102_752/1000/1 : [5.65437, 5.6862, 1.63216, 6.44563]
euroc_v102_752/1000/2 : [5.07325, 7.014, 0.74248, 6.76271]
euroc_v102_752/1000/3 : [7.34635, 7.53215, 1.84182, 7.78297]
euroc_v102_752/1250/1 : [29.10821, 41.32448, 7.85129, 16.76795, -100, 28.37035]
euroc_v102_752/1250/2 : [8.64834, 10.97349, 2.37138, 9.76717]
euroc_v102_752/1250/3 : [43.28372, 18.85926, 3.53138, 37.76649]
euroc_v102_752/2500/1 : [9.49961, 10.83559, 1.60683, 10.70318]
euroc_v102_752/2500/2 : [7.99421, 18.11407, 1.55264, 14.2865]
euroc_v102_752/2500/3 : [5.47742, 6.15709, 6.32329]
euroc_v102_752/5000/1 : [118.59742, 118.59742]
euroc_v102_752/5000/2 : [153.78941, -100, 153.78941]
euroc_v102_752/5000/3 : [128.32023, -100, 128.32023]
euroc_v102_752/10000/1 : [41.83917, 5.50056, 38.09385]
euroc_v102_752/10000/2 : [77.65202, 77.65202]
euroc_v102_752/10000/3 : [17.27006, 17.27006]
euroc_v103_752/500/1 : [20.66875, 20.66875]
euroc_v103_752/500/2 : [18.60019, 1.54361, 18.19915]
euroc_v103_752/500/3 : [9.88363, -100, -100, 9.88363]
euroc_v103_752/750/1 : [12.36661, 3.96956, 11.88056]
euroc_v103_752/750/2 : [5.00573, 5.80972, 6.41748]
euroc_v103_752/750/3 : [17.70458, -100, 17.70458]
euroc_v103_752/1000/1 : [8.27817, 5.79093, 8.11212]
euroc_v103_752/1000/2 : [6.79341, -100, 6.79341]
euroc_v103_752/1000/3 : [6.91406, 0.77226, 6.82694]
euroc_v103_752/1250/1 : [17.1282, 7.61715, 16.74954]
euroc_v103_752/1250/2 : [40.27394, 2.15454, -100, 39.999]
euroc_v103_752/1250/3 : [44.08568, -100, 44.08568]
euroc_v103_752/2500/1 : [93.89264, 26.72109, 95.10166]
euroc_v103_752/2500/2 : [44.40532, 27.87222, 40.55316]
euroc_v103_752/2500/3 : [8.1688, 2.97554, 8.00229]
euroc_v103_752/5000/1 : [17.79884, 8.41578, 3.03236, 6.71589, 13.61851]
euroc_v103_752/5000/2 : [27.62793, 14.16971, 26.81527]
euroc_v103_752/5000/3 : [28.62979, 10.32532, 27.51485]
euroc_v103_752/10000/1 : [36.87539, 20.98707, 36.09757]
euroc_v103_752/10000/2 : [23.67993, -100, 23.67993]
euroc_v103_752/10000/3 : [156.6302, 80.96798, -100, 152.55111]
euroc_v201_752/500/1 : [5.88386, 5.88386]
euroc_v201_752/500/2 : [5.50663, 5.50663]
